1;10;11;12;13;14;15;16;17;18;19;20;21;22;23;3;4;5;6;7;8;9;batch_id;created_by;currency;date_created;date_updated;form_id;gpnf_entry_nested_form_field;gpnf_entry_parent;gpnf_entry_parent_form;gv_revision_changed;gv_revision_date;gv_revision_date_gmt;gv_revision_parent_id;gv_revision_user_id;id;ingested_at_utc;ip;is_approved;is_fulfilled;is_read;is_starred;payment_amount;payment_date;payment_method;payment_status;post_id;source_date_updated;source_entry_id;source_form_id;source_id;source_url;status;submission_speeds;transaction_id;transaction_type;user_agent
38842;181;197;18;254;216;182;202;3425;179;145;196;183;211;179;Jochen Mücke;220;152;216;144;182;186;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37368;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37368;124;;;active;;;;GravityView Import
25166;195;193;18;165;177;140;160;3419;247;202;191;205;160;161;Jan Musiol;227;200;189;201;235;171;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37369;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37369;124;;;active;;;;GravityView Import
25690;192;213;18;212;200;167;175;3407;184;185;138;212;197;180;Florian Stangl;215;183;226;164;202;162;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37370;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37370;124;;;active;;;;GravityView Import
7886;160;191;18;235;182;191;189;3404;169;223;171;176;147;237;Patrick Baszler;211;213;205;170;166;168;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37371;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37371;124;;;active;;;;GravityView Import
16336;150;235;18;202;214;200;160;3393;170;206;135;148;177;188;Roland Hannemann;226;192;172;183;212;223;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37372;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37372;124;;;active;;;;GravityView Import
25842;131;158;18;169;178;215;243;3382;165;180;217;204;195;166;Ralf Mielke;187;190;207;158;226;193;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37373;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37373;124;;;active;;;;GravityView Import
38541;194;196;18;179;150;162;181;3358;208;157;204;176;163;201;Alexander Egger;191;193;195;211;159;238;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37374;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37374;124;;;active;;;;GravityView Import
16402;223;173;18;192;184;203;235;3347;178;173;214;161;199;145;Walter Lederle;194;166;190;202;171;144;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37375;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37375;124;;;active;;;;GravityView Import
7607;245;159;18;200;145;223;143;3305;154;169;162;150;130;208;Stefan Müller;207;197;213;228;186;186;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37376;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37376;124;;;active;;;;GravityView Import
7646;170;192;18;200;175;139;192;3299;157;175;186;160;167;154;Christian Schrempf;178;203;197;235;181;238;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37377;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37377;124;;;active;;;;GravityView Import
25826;181;171;18;183;200;179;171;3249;153;200;147;158;165;179;Martin Küchler;187;189;178;224;172;212;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37378;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37378;124;;;active;;;;GravityView Import
25005;192;195;18;191;158;194;194;3227;149;146;170;163;168;190;Anton Mutz;183;181;151;211;206;185;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37379;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37379;124;;;active;;;;GravityView Import
38050;210;192;14;134;168;146;223;2544;;;;;150;134;Tom Eck;265;170;193;191;168;200;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37380;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37380;124;;;active;;;;GravityView Import
7602;194;180;12;191;175;250;212;2240;;;;;;;Marco Probst;169;160;166;164;186;193;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37381;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37381;124;;;active;;;;GravityView Import
25340;183;160;12;190;168;173;198;2234;;;;;;;Lucas Kasenbacher;169;226;196;200;159;212;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37382;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37382;124;;;active;;;;GravityView Import
38996;206;180;12;183;182;143;176;2224;;;;;;;Christian Müller;163;194;178;222;221;176;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37383;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37383;124;;;active;;;;GravityView Import
25695;204;171;12;137;165;144;205;2212;;;;;;;Tobias Wiedemann;174;154;160;227;233;238;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37384;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37384;124;;;active;;;;GravityView Import
38568;164;196;12;184;170;194;188;2209;;;;;;;Andreas Schöllhorn;215;158;168;190;176;206;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37385;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37385;124;;;active;;;;GravityView Import
38648;133;181;12;168;178;187;161;2208;;;;;;;Brandon Alexander Lucas;201;204;213;225;167;190;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37386;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37386;124;;;active;;;;GravityView Import
38530;200;223;12;166;233;149;205;2207;;;;;;;Patrick Thurner;165;186;181;166;162;171;manual_export_table_124;1;EUR;2026-04-25 18:51:06;2026-04-25 18:51:06;124;False;False;False;False;False;False;False;False;37387;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:06;37387;124;;;active;;;;GravityView Import
